id,age,salary,department_id,score,years_experience
132,25,73026,8,85.09,1
133,37,64479,20,40.74,0
134,32,100871,15,62.14,10
135,53,132967,18,43.67,6
136,29,286989,14,4.11,7
137,28,108087,16,76.29,1
138,34,122142,16,75.89,11
139,30,74080,13,25.07,1
140,42,111106,14,4.23,2
141,42,76914,19,51.73,9
142,20,72354,20,72.19,1
143,31,578243,11,96.98,9
144,26,630405,3,67.99,0
145,29,227020,18,63.9,1
146,20,125868,13,95.0,1
147,49,100574,1,66.21,2
148,36,83867,16,53.72,1
149,36,61712,20,98.52,2
150,29,50916,9,98.6,2
151,39,202569,11,29.59,2
152,27,349643,17,41.51,2
153,28,60855,20,47.3,3
154,23,174638,19,97.91,0
155,25,72990,8,68.51,2
156,37,209630,17,36.01,11
157,44,52166,7,63.66,2
158,41,118276,4,41.81,19
159,40,117645,1,19.94,18
160,38,195668,14,66.73,2
161,32,69613,17,60.79,2
162,33,112683,1,47.77,8
163,18,154156,6,25.47,0
164,39,218343,9,23.2,2
165,42,53456,12,12.68,15
166,30,587407,11,30.99,6
167,33,100593,3,16.71,0
168,41,135459,16,76.89,5
169,31,84960,4,64.55,1
170,45,754760,7,40.02,0
171,32,65410,15,17.3,10
172,53,56087,17,72.44,31
173,26,74698400,4,45.51,0
174,55,50066,16,97.43,22
175,47,100133,20,66.61,15
176,41,617192,9,73.78,4
177,40,170036,10,83.69,0
178,28,128270,20,15.92,4
179,21,83953,2,13.58,1
180,43,181518,8,75.75,18
181,28,110052,13,69.25,2
182,26,3358334,15,27.96,2
183,47,71039,10,40.2,15
184,45,96805,11,88.44,10
185,46,3812328,2,7.46,7
186,44,220999,4,90.29,22
187,34,3881757,4,53.93,2
188,46,118674,10,50.27,3
189,26,1533299,4,53.97,2
190,37,414036,12,27.67,0
191,37,126137,15,68.09,9
192,33,418716,15,77.57,5
193,34,50504,5,94.41,2
194,38,57312,2,80.81,4
195,18,1995915,9,51.17,1
196,43,90765,1,92.62,6
197,41,102433,18,57.3,15
198,23,206630,4,40.35,0
199,39,263877,12,35.39,1
200,18,57618,19,9.42,0
201,42,137746,5,32.22,5
202,37,2673935,20,63.86,13
203,50,335672,2,29.89,20
204,34,60540,2,54.72,1
205,29,53450,9,11.06,2
206,24,50122,7,97.38,2
207,33,417233,8,76.0,6
208,41,66746,2,31.53,5
209,33,93583,17,41.89,1
210,37,65321,4,14.91,4
211,30,52753,5,45.15,1
212,30,209055,4,55.78,5
213,39,180494,10,38.63,14
214,26,127266,3,38.97,0
215,22,73194,17,82.38,0
216,21,66436,5,74.68,1
217,42,54421,3,96.74,19
218,27,89613,18,94.93,3
219,35,2318238,16,74.36,4
220,37,60356,9,42.92,3
221,32,169980,17,98.62,5
222,46,1077464,15,2.13,18
223,37,84270,6,27.45,1
224,32,52515,19,35.59,6
225,40,235094,16,50.44,1
226,37,106152,16,47.04,2
227,28,83054,2,49.52,4
228,40,112769,12,24.47,4
229,23,94988,18,53.97,0
230,31,107578,15,0.45,5
231,20,246666,16,67.39,1
232,41,82608,17,73.21,19
233,39,1061303,12,90.88,16
234,49,336037,8,48.9,13
235,28,115241,19,6.31,2
236,42,106747,7,29.48,13
237,35,95241,6,46.01,9
238,18,51074,19,8.79,0
239,27,285514,19,98.28,2
240,36,98771,15,19.64,3
241,25,444433,12,2.25,1
242,51,69095,14,79.12,28
243,27,132963,10,98.23,5
244,32,251900,15,98.16,2
245,37,93904,2,43.38,10
246,34,53254,5,71.3,9
247,20,247770,19,43.73,1
248,19,532056,19,67.65,0
249,35,73376,9,89.32,10
250,52,193376,6,37.9,29
251,24,50368,3,98.28,0
252,31,56233,9,64.25,7
253,60,79840,19,1.03,4
254,34,53364,19,80.73,8
255,27,400572,11,33.97,4
256,27,64195,11,97.54,1
257,38,53627,8,20.28,15
258,46,337052,6,93.65,11
259,33,65103,2,78.93,0
260,26,77045,16,46.23,1
261,30,85167,6,72.29,8
262,26,134801,8,0.73,3
263,42,119038,5,5.9,12
264,45,77634,12,65.92,18
265,37,77400,4,56.31,14
266,23,20510660,9,33.52,1
267,35,53207,11,72.5,0
268,31,121082,20,84.7,5
269,31,81097,2,34.81,5
270,34,91093,17,23.88,12
271,40,272297,4,89.24,5
272,25,94911,20,44.19,2
273,41,60961,7,77.54,3
274,42,71473,5,39.33,18
275,38,141265,4,84.38,6
276,32,150555,11,74.46,3
277,41,74292,15,43.64,10
278,29,938496,8,35.82,0
279,35,132988,3,4.12,8
280,46,112874,17,99.88,5
281,39,195307,12,32.4,6
282,39,289858,7,69.44,15
283,32,202511,18,23.85,8
284,18,156127,7,80.3,1
285,40,66021,4,20.3,12
286,48,73873,16,24.91,9
287,29,87450,13,92.71,0
288,30,88978,6,69.31,0
289,29,52579,4,90.29,7
290,19,59459,12,43.28,1
291,25,72282,6,76.1,3
292,40,149797,16,1.58,0
293,38,50090,11,7.65,3
294,25,282031,2,26.65,1
295,30,71346,17,34.31,0
296,39,218137,20,22.77,1
297,35,144372,15,9.29,13
298,28,78139,12,85.53,5
299,62,690149,9,51.92,3
300,27,73890,8,0.73,4
301,57,191031,10,23.51,7
302,29,53928,14,9.58,2
303,31,314133,3,44.5,8
304,42,1827858,14,3.98,0
305,30,86304,4,50.51,6
306,32,83231,12,90.07,0
307,48,72022,8,11.37,15
308,37,59759,16,37.0,15
309,31,62127,9,55.28,3
310,21,72808,8,56.51,1
311,38,95218,17,3.15,0
312,42,103219,2,72.78,13
313,38,571293,13,77.04,15
314,23,74165,1,92.49,0
315,30,181443,7,65.04,7
316,32,96729,4,63.06,4
317,28,296231,18,54.12,6
318,31,56336,18,1.42,7
319,57,78227,2,48.35,30
320,42,155793,14,7.31,0
321,46,65613,18,75.61,23
322,28,223498,3,34.42,5
323,30,61110,11,71.48,3
324,39,51964,5,92.84,8
325,43,4811937,12,41.08,20
326,37,118367,9,82.15,3
327,27,859401,5,51.37,5
328,47,103976,16,67.13,23
329,18,189950,3,13.87,1
330,56,166372,5,78.96,1
331,26,126494,20,42.26,4
332,39,1152681,17,87.23,8
333,47,1043660,19,68.42,7
334,23,131850,14,47.55,1
335,19,83644,20,7.7,0
336,41,217097,2,38.78,13
337,36,52375,6,42.49,5
338,56,5559799,13,51.2,8
339,36,95030,15,28.47,9
340,23,181430,1,55.94,1
341,46,416060,4,0.2,1
342,45,189419,20,21.49,11
343,27,83115,18,92.92,5
344,36,66074,4,91.27,8
345,23,248697,20,64.54,1
346,34,55940,13,30.46,12
347,23,231816,10,67.57,0
348,25,71803,9,16.47,1
349,25,454599,13,11.1,0
350,56,53634,7,70.61,10
351,37,705231,1,36.18,11
352,43,340135,13,51.6,17
353,55,54342,11,26.3,20
354,33,74423,1,3.36,4
355,53,116590,13,62.43,10
356,41,96875,10,83.59,0
357,35,80113,2,87.7,6
358,27,51280,20,4.65,4
359,22,182041,5,11.18,0
360,57,74931,10,17.55,24
361,24,500582,12,75.85,2
362,38,93437,3,49.81,8
363,45,1052926,10,52.97,1
364,39,681285,1,1.57,14
365,32,50229,11,10.32,9
366,25,59699,18,54.41,1
367,36,5639107,4,2.41,3
368,39,54414,11,88.13,8
369,37,376988,2,96.48,9
370,30,103285,19,48.01,6
371,42,999266,17,11.01,9
372,57,69545,12,85.63,33
373,36,74832,3,70.51,3
374,18,376017,19,20.61,0
375,18,115039,11,96.84,0
376,27,79338,7,2.08,2
377,22,235972,4,54.44,1
378,49,113753,10,48.78,5
379,35,150938,3,61.73,7
380,40,262454,9,99.77,12
381,50,78100,1,84.53,14
382,29,96604,3,95.9,2
383,37,70690,3,59.06,2
384,29,181032,12,74.09,7
385,33,54619,5,93.51,6
386,25,107287,4,57.18,2
387,34,248579,9,77.61,8
388,24,88226,20,86.71,0
389,45,91559,17,10.55,16
390,41,99716,11,87.02,18
391,42,118495,18,80.76,10
392,22,50345,18,91.15,1
393,61,156979,9,92.57,12
394,22,55412,15,91.6,0
395,18,55975930,12,4.31,1
396,31,60093,15,31.18,9
397,19,91193,4,95.2,1
398,49,506383,9,63.57,8
399,34,639903,14,27.01,12
400,18,98992,1,47.29,0
401,31,580425,9,88.22,9
402,30,183591,15,46.8,2
403,25,63226,7,1.52,3
404,33,51933,5,6.72,4
405,18,303042,19,93.19,0
406,37,63154,14,89.5,0
407,43,53427,17,14.11,2
408,40,72043,5,63.34,7
409,32,135402,6,62.2,1
410,26,70129,8,27.18,0
411,36,50898,14,57.12,7
412,35,78412,17,95.01,3
413,42,110102,19,58.33,16
414,36,3514190,14,68.26,4
415,39,192785,16,9.05,8
416,52,152969,8,70.82,12
417,25,57696,17,80.32,1
418,38,58200,3,94.92,15
419,31,139513,18,1.09,9
420,43,87028,2,43.45,11
421,42,57439,16,72.02,7
422,41,171462,10,25.7,4
423,33,71695,7,56.96,0
424,50,140293,5,47.7,17
425,40,58571,15,86.05,16
426,29,54240,15,73.15,0
427,38,84801,20,92.27,11
428,46,85221,7,70.27,11
429,34,74418,7,83.15,2
430,48,57917,3,59.63,14
431,29,128669,13,26.53,6
432,18,89364,1,95.48,1
433,24,65680,18,5.45,1
434,39,56909,9,88.31,2
435,41,508872,19,43.62,9
436,29,121945,4,85.72,1
437,59,69279,8,37.55,36
438,42,87531,3,21.83,4
439,29,99362,10,54.77,3
440,33,80092,6,66.66,8
441,18,63710,12,12.98,1
442,32,55376,14,34.3,9
443,42,54601,19,78.81,0
444,34,73023,11,29.05,5
445,44,1298950,18,4.27,3
446,30,51260,6,25.72,5
447,41,54985,3,9.61,1
448,18,121612,10,99.47,0
449,18,54664,9,40.41,0
450,32,61810,4,27.87,5
451,44,50644,17,17.14,2
452,18,124502,18,99.82,0
453,31,64167,4,3.19,2
454,30,69139,18,98.6,3
455,34,676318,10,47.36,10
456,38,72109,9,71.76,10
457,47,90746,9,14.13,1
458,47,50646,18,50.39,0
459,18,105636,2,14.08,1
460,32,60739,16,43.51,10
461,33,28251812,4,35.68,9
462,49,900925,12,92.73,8
463,43,71776,13,3.13,6
464,38,261664,12,83.84,2
465,30,76493,17,86.26,2
466,32,440696,3,56.47,10
467,51,94614,9,72.53,25
468,38,62616,5,15.03,2
469,47,143466,16,16.55,8
470,35,543334,7,20.9,9
471,47,104961,14,80.99,15
472,27,327371,7,87.21,1
473,34,81211,19,53.79,1
474,45,251745,4,96.92,6
475,41,120152,14,98.17,12
476,23,113768,5,62.99,0
477,39,55278,2,54.36,15
478,22,159185,2,63.92,1
479,38,77459,15,72.97,8
480,39,100829,7,86.93,0
481,41,64069,16,51.78,5
482,39,121387,12,53.96,12
483,38,73773,14,68.1,11
484,18,180991,18,12.84,1
485,26,131733,18,54.46,4
486,37,101748,1,68.6,5
487,34,149554,3,45.25,10
488,38,53457,8,27.98,6
489,37,543959,20,4.46,7
490,21,223265,5,21.03,1
491,32,184002,4,50.05,8
492,29,324433,7,84.47,2
493,34,161452,12,55.75,12
494,37,61507,20,3.68,5
495,46,66116,18,66.25,6
496,27,56082,13,34.57,5
497,49,96232,2,93.03,5
498,33,50933,15,45.34,5
499,30,304791,16,91.41,2
500,25,263265,18,59.25,0
501,34,99866,17,76.86,10
502,33,78933,15,5.43,10
503,37,413660,7,38.64,14
504,43,499143,11,39.53,16
505,42,313922,3,41.66,14
506,33,131137,12,13.23,9
507,39,16463307,15,66.83,13
508,28,150022,18,0.2,1
509,28,98068,5,21.58,0
510,37,54742,9,25.52,6
511,44,57717,11,36.21,7
512,39,71421,16,87.33,8
513,48,50106,15,28.25,4
514,40,175077,6,65.43,3
515,34,97484,10,76.63,7
516,46,1762450,18,19.74,20
517,48,73905,13,61.15,17
518,56,288822,15,88.68,29
519,42,7086443,8,68.63,16
520,40,9093107,7,56.17,14
521,28,170769,8,40.79,5
522,18,1912677,19,81.92,0
523,47,66974,14,3.22,0
524,39,65000,8,19.12,11
525,38,59332,19,35.32,9
526,43,94240,3,91.94,10
527,49,71554,10,52.6,13
528,35,131872,5,19.58,0
529,39,113314,19,44.86,11
530,44,87764,2,15.04,1
531,44,173272,3,19.1,7
532,20,700021,18,24.97,0
533,51,285534,10,0.9,19
534,26,52372,12,9.85,0
535,18,135762,12,44.15,0
536,32,103738,14,32.59,0
537,28,67988,4,49.71,5
538,29,465463,12,38.26,6
539,45,4222841,18,36.92,22
540,49,404399,13,27.07,22
541,32,280448,14,86.93,2
542,46,60252,4,47.39,1
543,45,76534,16,37.91,10
544,25,328847,5,47.87,3
545,49,55458,2,60.44,9
546,22,92470,12,87.82,0
547,20,53416,11,65.45,1
548,18,65145,4,52.89,0
549,44,50685,19,49.44,19
550,26,62182,19,95.89,1
551,61,173978,17,54.7,18
552,32,273738,10,95.93,10
553,38,98683,2,84.78,1
554,41,53059,16,17.2,17
555,22,111993,5,61.52,0
556,26,86620,15,12.27,4
557,30,376135,6,47.33,1
558,52,76905,2,34.48,0
559,31,52287,14,57.33,3
560,42,61580,1,33.62,2
561,33,76061,14,31.61,7
562,28,78094,7,25.57,2
563,53,2782838,20,71.98,1
564,42,60176,11,11.74,11
565,54,70466,14,5.74,4
566,47,63417,17,51.51,16
567,45,2849135,15,86.09,13
568,34,79705,7,24.16,9
569,46,914303,2,1.51,6
570,47,62858,9,81.48,8
571,46,87489,17,84.96,11
572,36,95473,20,28.89,6
573,32,51600,13,59.25,5
574,18,51406,2,35.73,1
575,40,75817,10,22.09,9
576,45,312222,14,30.98,18
577,38,70059,5,50.73,14
578,18,138758,18,28.84,0
579,41,84379,3,64.13,1
580,45,101637,10,38.03,3
581,19,237957,7,54.98,0
582,22,104793,19,31.29,1
583,27,110930,19,51.72,1
584,44,83680,16,74.5,16
585,36,59764,15,82.85,14
586,41,66754,8,83.45,16
587,18,72209,20,20.0,0
588,30,66519,2,19.73,3
589,29,94337,12,35.31,4
590,30,194088,15,2.62,2
591,34,318127,4,8.12,6
592,41,74553,3,98.44,13
593,34,131611,1,58.36,0
594,49,53633,16,67.78,21
595,29,70116,18,36.02,6
596,42,314717,9,67.64,3
597,28,241392,13,88.19,6
598,23,64483,7,36.36,0
599,33,53324,8,34.13,7
600,21,55781,5,80.35,1
601,45,140863,7,34.54,16
602,30,890263,2,96.22,3
603,52,150577,4,93.74,12
604,40,61827,15,14.26,10
605,32,52371,19,3.13,1
606,40,143756,9,67.57,1
607,42,158386,14,48.52,7
608,39,54181,14,12.57,0
609,40,163533,20,40.65,11
610,30,92635,5,65.34,5
611,29,51742,7,97.71,5
612,36,207943,11,92.69,8
613,28,57644,13,16.53,0
614,27,62623,3,12.51,2
615,47,72739,5,3.1,2
616,35,70073,13,37.65,12
617,46,1071000,6,23.36,9
618,38,185105,2,48.55,1
619,23,221360,18,97.39,0
620,33,235615,3,52.76,2
621,20,85379,11,20.69,0
622,34,66966,10,49.05,7
623,42,258136,1,53.11,14
624,36,62700,4,30.59,0
625,38,55813,10,22.29,1
626,45,147312,2,84.6,4
627,30,108011,16,10.01,5
628,35,136086,7,78.9,6
629,36,101414,10,99.36,8
630,53,103398,16,29.97,5
631,38,103489,19,63.9,0
632,37,872845,14,41.08,12
633,32,101638,11,48.39,9
634,36,144956,20,88.73,3
635,49,59454,1,74.51,18
636,27,579316,8,40.34,4
637,18,50882,8,65.1,1
638,42,55505,20,90.77,7
639,23,254301,9,31.32,0
640,33,65050,2,50.84,4
641,33,156138,14,76.96,11
642,43,52472,1,29.99,2
643,34,52832,20,72.61,4
644,32,110895,19,42.64,0
645,56,77539,10,75.0,23
646,30,73696,16,69.8,2
647,44,77717,14,38.35,21
648,44,57311,6,27.72,22
649,30,67884,6,58.25,8
650,18,73924,1,7.51,1
651,29,77891,9,9.73,6
652,36,86500,15,65.25,13
653,35,193684,8,28.56,12
654,34,169113,13,17.07,10
655,41,51943,1,87.87,0
656,23,270194,8,32.31,0
657,46,76344,10,72.54,7
658,20,180677,6,72.74,0
659,25,238755,13,64.43,0
660,40,111813,16,95.97,11
661,36,137918,16,61.91,5
662,36,69825,6,12.6,8
663,18,121934,13,43.9,1
664,34,76691,9,93.2,11
665,38,227244,9,21.04,1
666,38,70687,18,67.41,16
667,40,86692,12,95.83,4
668,51,92658,10,76.06,8
669,40,465540,6,2.43,17
670,30,126504,14,58.73,4
671,39,59858,10,73.92,16
672,25,180534,20,94.0,1
673,39,61874,3,52.98,5
674,34,81997,2,90.04,3
675,18,70605,1,6.73,0
676,37,50336,10,37.63,7
677,46,236420,4,81.1,19
678,38,79082,7,37.48,12
679,34,1143526,20,62.93,10
680,34,59562,13,55.94,5
681,27,84969,17,99.8,0
682,21,167780,3,16.93,0
683,18,96857,2,85.8,1
684,21,260634,11,17.86,0
685,47,646640,3,6.18,3
686,20,131848,5,91.4,0
687,32,60388,5,26.42,3
688,35,210420,3,71.32,9
689,30,76826,17,39.7,8
690,22,105471,16,99.78,0
691,53,65463,19,73.97,11
692,40,67736,17,81.13,11
693,34,79279,5,62.48,6
694,30,70443,13,63.88,6
695,61,85338,14,98.92,0
696,28,60962,2,98.74,4
697,32,58558,20,8.28,3
698,18,418676,2,0.74,1
699,52,56491,7,98.12,29
700,24,60119,20,46.86,0
701,26,56978,16,95.34,0
702,24,619355,20,10.54,0
703,30,91982,5,60.39,1
704,28,51863,16,60.82,3
705,34,100519,2,61.57,4
706,38,54175,17,60.89,10
707,47,55133,12,81.87,0
708,31,43888080,1,93.97,6
709,44,66358,5,45.43,3
710,42,742725,6,49.91,8
711,47,61182,16,80.63,0
712,64,57302,8,48.21,26
713,41,66514,9,25.3,15
714,30,117781,13,10.26,7
715,39,147738,12,90.65,7
716,23,50052,4,42.34,0
717,37,57535,1,35.11,13
718,20,71596,20,66.2,1
719,42,1142814,18,51.37,16
720,22,80003,20,76.84,0
721,45,467396,4,47.2,0
722,24,63626,13,10.1,1
723,43,140590,4,3.26,8
724,39,75029,1,37.97,4
725,31,54964,6,44.0,2
726,44,106383,5,21.53,12
727,33,56728,18,4.51,0
728,35,138562,5,59.12,11
729,29,68468,16,53.3,3
730,35,77209,9,26.12,10
731,29,360275,10,23.41,6
732,43,246709,4,53.66,3
733,34,103665,20,63.97,10
734,48,156807,10,23.51,5
735,40,64650,20,15.18,6
736,45,71412,4,83.76,9
737,48,82395,15,37.57,14
738,46,79755,20,91.09,9
739,46,59338,19,24.03,21
740,35,53910,13,70.05,12
741,36,247213,11,8.02,4
742,50,308224,4,68.65,15
743,47,237055,18,96.1,4
744,48,107496,20,15.59,2
745,40,100878,7,52.2,14
746,21,100623,19,25.2,1
747,24,103386,18,15.3,1
748,42,263049,6,60.71,5
749,36,127460,14,76.03,9
750,36,50240,18,88.09,7
751,44,57235,12,46.9,0
752,63,93775,4,99.76,5
753,41,389476,13,67.69,13
754,27,102205,16,67.28,4
755,50,173554,14,29.54,0
756,36,659220,7,80.67,9
757,21,144764,7,66.37,0
758,38,171528,5,1.22,3
759,40,2307997,11,25.43,7
760,27,8647751,5,62.61,0
761,43,99323,19,43.76,5
762,30,156365,18,67.65,0
763,30,83100,5,46.74,0
764,36,296746,6,31.13,0
765,37,53583,8,91.01,12
766,32,87065,7,69.96,9
767,27,69350,1,85.3,3
768,46,262404,10,96.9,3
769,33,535481,2,9.07,2
770,52,72831,5,88.28,23
771,27,200504,20,89.6,5
772,36,65184,18,88.39,9
773,29,584302,6,69.43,5
774,26,328679,10,43.73,1
775,47,58423,11,40.1,8
776,43,50419,7,33.59,9
777,33,106883,12,95.36,3
778,26,653368,12,55.7,2
779,24,230337,5,31.13,2
780,31,127000,3,93.01,1
781,37,76410,2,79.89,11
782,32,51503,5,51.1,5
783,57,567573,15,39.36,22
784,24,57941,16,81.18,0
785,26,787026,4,28.86,4
786,37,159421,3,42.08,0
787,36,247884,5,22.12,0
788,24,60331,5,0.57,1
789,30,199135,11,5.76,0
790,19,274224,5,54.43,0
791,29,67046,9,6.13,0
792,30,188210,12,66.5,2
793,49,80813,12,56.94,4
794,42,568881,18,44.36,6
795,37,55279,6,96.49,12
796,42,95865,19,70.81,16
797,42,110605,2,38.9,11
798,35,63261,18,57.27,1
799,23,101978,18,57.36,0
800,52,92226,16,38.88,11
801,46,166818,5,9.36,23
802,46,84534,20,50.48,12
803,28,82992,12,27.98,1
804,26,50519,19,46.29,3
805,41,82622,1,13.91,15
806,49,88578,17,29.68,5
807,32,51158,13,98.46,2
808,32,58725,8,84.77,7
809,32,56112,10,86.78,8
810,27,74438,3,15.7,3
811,41,279307,2,27.44,7
812,25,57746,9,66.49,1
813,40,54602,6,8.64,14
814,42,27320699,15,57.71,1
815,32,54592,8,89.39,8
816,33,87036,1,94.62,1
817,45,330218,12,16.27,1
818,36,272384,19,46.84,10
819,38,104886,15,53.73,15
820,31,70182,19,50.1,4
821,54,81265,13,54.63,10
822,33,114105,18,91.18,4
823,43,2178217,15,5.1,2
824,58,144741,20,76.8,36
825,35,98556,5,22.07,0
826,29,74820,18,64.74,2
827,31,178044,17,32.91,8
828,28,167793,5,54.55,4
829,37,3190110,2,59.13,10
830,34,51129,10,64.65,7
831,44,62754,15,97.98,10
832,23,824753,2,28.89,0
833,35,56570,19,25.62,2
834,36,186571,6,61.12,13
835,32,667918,2,64.57,8
836,36,380720,13,24.11,10
837,34,59751,10,83.39,6
838,32,134696,14,44.06,7
839,26,69973,11,57.4,0
840,44,425319,17,32.6,21
841,28,156067,2,26.21,6
842,54,61624,14,23.13,0
843,35,87632,8,71.6,9
844,33,101320,5,73.37,7
845,25,124017,2,49.19,2
846,23,98193,10,76.67,0
847,42,69229,3,98.24,13
848,24,88001,6,75.06,2
849,38,50961,3,0.75,5
850,30,58103,10,44.83,3
851,26,307346,13,80.22,4
852,26,51744,5,22.73,2
853,40,63034,11,70.78,9
854,25,73494,4,99.29,0
855,18,3662671,9,56.96,0
856,44,213221,5,88.99,4
857,29,53811,10,27.85,3
858,49,714939,6,62.2,9
859,34,65884,2,41.84,10
860,22,1279828,11,3.03,0
861,35,211793,9,48.41,3
862,22,1016501,15,22.33,1
863,42,135771,11,57.64,20
864,18,54777,17,39.74,0
865,28,700515,18,76.64,5
866,38,116033,7,34.73,14
867,35,428100,2,56.42,13
868,33,111729,2,69.55,10
869,41,178511,11,1.15,10
870,35,89083,8,61.37,7
871,36,75167,3,40.01,11
872,31,141488,3,15.15,3
873,42,109655,12,5.64,9
874,38,141180,8,4.18,15
875,21,101342,5,89.51,1
876,37,284005,20,22.45,1
877,20,106650,10,9.29,0
878,46,59102,10,68.77,21
879,23,52732,5,31.91,0
880,44,60429,20,22.14,12
881,20,86073,4,75.74,1
882,30,55572,12,39.0,2
883,31,98845,13,86.01,6
884,41,100531,16,33.7,3
885,48,50239,10,10.95,17
886,19,84811,14,18.46,0
887,29,60897,12,24.28,3
888,24,151157,5,27.06,1
889,32,77944,15,4.87,10
890,37,207980,8,1.32,9
891,41,101853,19,17.57,8
892,41,71749,4,71.07,8
893,35,380575,11,1.45,6
894,46,69043,11,59.58,3
895,51,163628,5,79.94,2
896,37,120440,1,63.65,8
897,49,67064,13,30.61,1
898,31,93698,13,39.05,1
899,45,52089,12,37.63,5
900,56,73209,11,34.26,7
901,28,311549,1,27.32,4
902,57,559209,16,87.05,0
903,52,96418,13,95.31,25
904,31,54738,7,20.98,6
905,35,103633,2,19.94,11
906,53,124353,9,82.73,2
907,35,60604,19,14.31,7
908,33,78332,7,59.25,8
909,37,69240,18,21.16,13
910,18,52462,7,44.3,1
911,41,62043,9,42.07,19
912,36,81270,10,44.76,11
913,45,58271,16,33.54,10
914,45,71892,12,33.18,7
915,47,142758,14,60.21,15
916,25,56848,7,18.01,1
917,31,122017,16,62.37,3
918,31,100322,15,9.54,5
919,48,127100,18,80.95,8
920,23,68756,4,68.11,0
921,18,197210,14,42.04,1
922,27,598174,6,98.95,5
923,31,469377,2,87.15,6
924,49,121477,19,86.95,26
925,34,53605,11,22.74,8
926,37,1083920,18,31.76,15
